"Gemeenten";"Totaal bekende hernieuwbare elektriciteit|2010";"Totaal bekende hernieuwbare elektriciteit|2011";"Totaal bekende hernieuwbare elektriciteit|2012";"Totaal bekende hernieuwbare elektriciteit|2013";"Totaal bekende hernieuwbare elektriciteit|2014";"Totaal bekende hernieuwbare elektriciteit|2015";"Totaal bekende hernieuwbare elektriciteit|2016";"Totaal bekende hernieuwbare elektriciteit|2017";"Totaal bekende hernieuwbare elektriciteit|2018";"Totaal bekende hernieuwbare elektriciteit|2019";"Totaal bekende hernieuwbare elektriciteit|2020";"Totaal bekende hernieuwbare elektriciteit|2021"
"Aa en Hunze";1;2;5;9;14;19;24;30;44;59;93;290
"Aalsmeer";0;0;1;3;5;7;10;14;24;33;52;85
"Aalten";106;112;113;108;120;129;114;123;144;156;190;197
"Achtkarspelen";6;6;7;8;11;13;16;21;52;83;98;108
"Alblasserdam";0;0;0;1;3;3;4;5;8;9;14;20
"Albrandswaard";0;0;0;1;2;3;4;6;10;20;38;45
"Alkmaar";902;859;898;1434;1212;1854;1643;1688;1599;1758;1541;1382
"Almelo";0;1;1;3;7;13;18;24;37;109;219;254
"Almere";238;247;246;267;254;278;269;305;351;372;367;661
"Alphen aan den Rijn";78;79;76;78;85;101;104;100;138;163;229;270
"Alphen-Chaam";0;0;0;1;2;3;5;7;11;16;27;40
"Altena";0;1;2;4;8;12;15;20;37;64;107;155
"Ameland";0;0;0;1;1;11;21;22;26;24;26;27
"Amersfoort";16;31;30;35;45;51;76;84;108;146;200;245
"Amstelveen";0;5;5;8;9;15;19;25;31;46;72;89
"Amsterdam";2399;2613;2710;2643;2317;2617;2552;2581;2414;1630;2564;2747
"Apeldoorn";1;51;53;56;78;100;103;122;131;215;281;410
"Arnhem";1;6;7;11;15;20;29;45;70;95;139;207
"Assen";0;5;7;11;16;22;34;49;78;106;143;181
"Asten";0;0;1;2;4;8;13;18;27;50;131;142
"Baarle-Nassau";0;0;0;1;1;2;3;4;7;15;28;41
"Baarn";0;0;0;1;3;4;6;8;12;17;24;26
"Barendrecht";0;1;1;2;3;6;8;12;24;36;55;76
"Barneveld";35;34;31;34;39;45;33;36;55;96;162;198
"Beek";0;1;1;2;3;5;9;11;17;24;33;38
"Beekdaelen";1;2;9;12;14;16;27;32;50;59;82;97
"Beesel";1;1;2;2;3;5;7;9;14;18;26;33
"Berg en Dal";0;0;1;3;6;9;12;15;24;32;47;59
"Bergeijk";0;0;1;2;4;7;11;16;24;44;69;89
"Bergen (L.)";0;0;0;1;3;4;6;8;13;18;31;42
"Bergen (NH.)";1;1;2;3;6;8;11;15;24;37;55;68
"Bergen op Zoom";59;58;55;59;55;56;60;61;76;92;131;167
"Berkelland";1;1;3;9;16;24;30;37;56;68;100;159
"Bernheze";0;0;2;4;7;10;16;21;34;51;91;128
"Best";0;1;1;3;6;8;11;15;24;52;85;106
"Beuningen";377;375;431;414;397;421;421;408;363;424;459;467
"Beverwijk";0;0;0;4;7;8;11;15;20;27;38;43
"Bladel";0;1;2;4;7;10;12;15;22;37;69;98
"Blaricum";0;0;0;0;1;1;1;2;4;5;8;11
"Bloemendaal";0;1;1;1;2;3;4;5;7;10;17;23
"Bodegraven-Reeuwijk";1;2;2;4;6;9;11;14;27;42;67;79
"Boekel";0;0;1;2;3;5;8;12;22;35;72;96
"Borger-Odoorn";0;2;3;7;12;19;27;32;43;75;255;840
"Borne";6;6;5;5;7;9;12;15;19;21;33;42
"Borsele";208;218;268;327;339;381;379;354;512;709;774;688
"Boxtel";1;3;3;6;9;13;16;20;30;40;62;77
"Breda";11;12;24;43;50;88;124;130;174;221;293;406
"Bronckhorst";4;11;12;12;17;22;28;37;53;65;96;120
"Brummen";0;0;1;2;4;6;8;11;18;21;30;63
"Brunssum";0;0;1;2;3;5;8;13;21;26;33;39
"Bunnik";0;0;1;2;4;5;7;9;14;19;29;38
"Bunschoten";0;0;1;2;3;41;47;52;58;26;54;71
"Buren";104;102;205;198;187;163;160;158;175;168;226;222
"Capelle aan den IJssel";0;18;19;19;24;26;40;52;58;72;85;90
"Castricum";0;1;1;3;6;9;13;17;24;34;50;62
"Coevorden";10;44;51;56;76;154;181;175;192;223;349;460
"Cranendonck";0;1;1;2;4;7;9;13;94;200;215;218
"Culemborg";35;36;37;35;39;45;44;47;61;52;93;92
"Dalfsen";0;1;37;80;87;87;92;101;119;128;166;222
"Dantumadiel";2;2;3;4;5;7;8;10;15;19;34;50
"De Bilt";0;1;1;2;4;6;9;12;18;23;35;47
"De Fryske Marren";52;58;58;51;59;87;192;283;286;322;382;392
"De Ronde Venen";18;17;23;24;21;31;34;42;52;65;84;92
"De Wolden";0;1;2;5;8;12;19;27;38;51;71;86
"Delft";2;2;3;5;7;10;14;21;33;41;54;66
"Den Haag";6;21;23;28;39;53;79;105;146;184;234;262
"Den Helder";16;19;20;23;26;27;31;36;45;60;105;165
"Deurne";0;1;1;4;6;10;16;20;39;78;121;149
"Deventer";3;17;21;23;31;58;83;90;110;124;169;203
"Diemen";0;0;0;1;1;2;3;5;8;13;21;28
"Dijk en Waard";36;73;94;98;108;115;106;119;158;197;261;294
"Dinkelland";1;2;39;39;29;18;28;34;44;49;75;94
"Doesburg";0;0;1;1;2;2;2;3;5;7;11;15
"Doetinchem";1;1;2;5;9;13;19;27;46;60;87;108
"Dongen";0;0;1;2;3;5;6;9;15;31;45;71
"Dordrecht";208;447;534;456;340;399;422;351;356;370;433;411
"Drechterland";1;2;3;8;14;17;20;23;30;44;62;79
"Drimmelen";1;1;2;4;6;7;9;11;16;25;44;72
"Dronten";995;1075;1102;1191;1091;1154;1062;1137;1188;1271;1404;1105
"Druten";0;0;0;1;3;4;5;7;13;17;31;98
"Duiven";259;325;784;489;445;445;436;431;383;372;379;398
"Echt-Susteren";0;4;11;14;16;21;29;37;51;61;81;100
"Edam-Volendam";0;0;1;2;4;5;8;10;18;24;38;47
"Ede";2;12;13;19;26;61;148;168;166;187;268;321
"Eemnes";0;0;0;1;2;3;5;7;20;31;36;35
"Eemsdelta";644;828;851;814;2125;2561;2831;1968;2084;2127;2231;2978
"Eersel";0;3;7;10;12;14;18;22;27;41;61;75
"Eijsden-Margraten";0;1;2;4;6;9;14;20;33;43;64;78
"Eindhoven";1;2;133;127;84;92;136;166;127;288;355;456
"Elburg";0;7;10;10;11;14;18;22;30;39;55;61
"Emmen";2;12;11;17;23;33;47;100;210;314;425;535
"Enkhuizen";25;27;27;28;29;30;28;29;34;43;44;46
"Enschede";1;21;21;25;33;48;58;66;113;156;204;245
"Epe";0;0;1;2;5;6;9;13;24;33;46;75
"Ermelo";10;11;30;28;21;11;17;25;34;47;68;77
"Etten-Leur";39;41;40;136;198;187;201;187;224;280;383;389
"Geertruidenberg";0;0;0;1;2;3;7;12;19;28;41;66
"Geldrop-Mierlo";0;0;1;2;5;8;11;14;22;37;54;68
"Gemert-Bakel";1;2;3;5;8;13;18;24;34;57;98;140
"Gennep";0;0;1;2;3;5;7;9;14;28;72;108
"Gilze en Rijen";0;0;1;3;6;9;13;17;30;45;64;77
"Goeree-Overflakkee";281;292;352;346;358;411;533;492;608;896;1026;1408
"Goes";1;2;3;5;10;15;20;27;39;64;94;110
"Goirle";0;0;1;2;3;6;8;11;18;28;45;57
"Gooise Meren";0;1;1;3;3;5;7;10;14;22;31;43
"Gorinchem";0;0;1;1;3;5;7;9;16;24;38;54
"Gouda";4;4;4;6;7;10;13;16;27;38;61;72
"Groningen";8;37;40;48;58;71;87;130;198;219;320;440
"Gulpen-Wittem";0;0;4;7;9;10;11;12;16;20;28;33
"Haaksbergen";0;1;2;4;8;11;15;18;23;25;40;52
"Haarlem";1;16;16;20;22;30;34;42;56;71;103;122
"Haarlemmermeer";3;4;30;60;78;108;123;147;246;339;447;486
"Halderberge";72;75;74;132;202;229;246;227;270;289;344;359
"Hardenberg";3;6;10;17;26;38;54;103;102;178;321;380
"Harderwijk";1;9;10;12;17;19;19;29;44;55;79;92
"Hardinxveld-Giessendam";0;0;0;1;2;3;4;5;10;17;27;34
"Harlingen";124;267;354;360;375;376;397;414;464;458;509;475
"Hattem";0;0;0;1;2;3;4;5;7;9;13;15
"Heemskerk";22;14;19;21;23;25;24;27;34;48;62;62
"Heemstede";0;0;0;1;2;3;4;6;10;14;22;26
"Heerde";0;0;1;2;3;5;6;8;14;16;23;35
"Heerenveen";14;15;16;24;25;38;40;53;82;107;179;253
"Heerlen";5;5;5;8;11;19;22;34;61;85;118;145
"Heeze-Leende";0;0;1;2;4;6;9;12;17;26;41;58
"Heiloo";0;2;2;4;5;7;8;12;17;23;38;47
"Hellendoorn";1;1;3;6;10;15;20;51;41;54;85;98
"Helmond";0;1;1;3;7;11;15;20;30;64;111;145
"Hendrik-Ido-Ambacht";0;0;0;1;2;3;4;6;10;13;21;29
"Hengelo";1269;1032;1113;855;1062;1095;1241;1187;1004;1108;958;925
"Het Hogeland";2289;2314;2382;2337;2515;2444;2215;2305;2402;2556;2134;2652
"Heumen";0;1;1;2;3;5;6;8;12;18;30;38
"Heusden";0;3;4;6;9;12;16;21;35;50;86;123
"Hillegom";0;1;1;1;2;4;6;8;16;25;37;45
"Hilvarenbeek";0;0;1;2;4;6;8;12;20;29;46;73
"Hilversum";0;1;1;2;3;6;9;13;24;35;48;63
"Hoeksche Waard";42;43;43;46;54;60;64;66;101;536;745;961
"Hof van Twente";6;5;69;100;66;47;61;69;60;77;134;197
"Hollands Kroon";1015;1158;1230;1343;1414;1415;1280;1103;939;1334;3553;5030
"Hoogeveen";0;1;2;13;23;29;38;53;71;77;165;299
"Hoorn";4;5;6;7;9;12;18;24;33;52;74;89
"Horst aan de Maas";4;7;9;13;17;21;33;44;74;106;161;218
"Houten";1;2;5;34;46;68;70;64;87;102;153;210
"Huizen";0;0;1;2;4;6;8;11;20;29;38;49
"Hulst";0;1;1;3;6;10;16;23;30;44;60;71
"IJsselstein";0;10;10;10;12;17;20;22;28;34;48;57
"Kaag en Braassem";0;1;1;3;6;9;12;14;23;32;49;61
"Kampen";0;6;7;13;19;60;101;113;145;182;230;254
"Kapelle";68;75;71;73;74;80;79;77;82;95;113;107
"Katwijk";0;0;1;2;4;5;6;11;26;42;66;78
"Kerkrade";28;25;20;22;24;40;20;21;40;50;71;115
"Koggenland";87;94;93;96;102;105;94;94;111;137;140;151
"Krimpen aan den IJssel";0;0;0;1;2;4;6;7;10;13;19;27
"Krimpenerwaard";1;1;2;4;8;12;16;18;26;38;75;99
"Laarbeek";0;1;1;3;6;8;10;13;19;31;54;76
"Land van Cuijk";7;13;15;22;29;432;489;553;245;469;675;523
"Landgraaf";36;27;31;20;5;27;29;33;50;63;73;100
"Landsmeer";1;1;1;2;2;3;3;4;7;11;16;17
"Lansingerland";1;1;3;6;11;19;27;34;89;102;137;202
"Laren";0;0;0;0;1;1;1;2;3;3;4;6
"Leeuwarden";43;54;58;63;78;98;108;129;185;234;349;446
"Leiden";1;1;2;7;12;14;22;25;36;47;64;85
"Leiderdorp";0;0;0;1;2;3;5;8;12;15;21;26
"Leidschendam-Voorburg";1;1;1;2;4;6;8;12;19;24;32;40
"Lelystad";892;927;1013;1150;1069;1183;1156;1258;1299;1431;1691;1569
"Leudal";0;1;26;45;51;88;122;111;132;144;195;343
"Leusden";0;1;1;3;6;8;11;13;31;49;61;62
"Lingewaard";0;0;1;4;7;11;15;20;36;71;131;163
"Lisse";0;0;0;1;2;4;5;8;13;17;25;32
"Lochem";1;1;2;5;8;13;18;22;35;45;76;148
"Loon op Zand";0;0;1;2;3;4;6;7;13;19;28;38
"Lopik";35;33;44;40;29;43;42;36;50;58;75;79
"Losser";0;1;2;3;5;10;14;17;23;27;45;98
"Maasdriel";0;0;1;2;4;8;14;20;34;41;65;78
"Maasgouw";114;112;114;116;120;115;117;118;127;133;142;152
"Maashorst";0;1;3;7;13;18;32;42;85;136;204;240
"Maassluis";0;0;0;1;2;2;3;4;8;11;18;25
"Maastricht";7;15;17;21;24;26;34;40;60;79;144;187
"Medemblik";83;90;88;92;99;107;99;101;134;265;405;438
"Meerssen";0;0;1;2;4;6;9;12;19;24;34;41
"Meierijstad";14;16;74;72;52;58;77;103;128;195;318;390
"Meppel";4;6;5;8;9;14;19;22;30;40;54;68
"Middelburg";42;43;42;44;47;52;54;39;73;159;210;196
"Midden-Delfland";0;49;51;52;60;67;72;72;81;70;58;67
"Midden-Drenthe";689;765;775;743;753;750;801;673;785;828;910;903
"Midden-Groningen";1;2;4;9;16;30;47;59;80;235;997;1760
"Moerdijk";1314;1299;1288;1335;1330;1368;1435;1496;2511;2847;2955;2430
"Molenlanden";1;1;2;29;54;61;62;63;96;113;149;173
