Aardgas en elektriciteit, gemiddelde prijzen eindverbruikers, 2007-2022;;;
Belastingen: Inclusief btw en belastingen;;;
;;;
;;;
Perioden;Prijscomponenten;Aardgasprijs |Verbruiksklassen huishoudens|20 tot 200 GJ in euro per GJ;Elektriciteitsprijs |Verbruiksklassen huishoudens|2,5 tot 5 MWh euro per kWh
2010;Transactieprijs;19,368;0,178
2011;Transactieprijs;20,266;0,180
2012;Transactieprijs;21,710;0,186
2013;Transactieprijs;22,655;0,190
2014;Transactieprijs;22,290;0,182
2015;Transactieprijs;21,476;0,192
2016;Transactieprijs;21,915;0,161
2017;Transactieprijs;21,778;0,156
2018;Transactieprijs;23,143;0,171
2019;Transactieprijs;26,207;0,205
2020;Transactieprijs;27,815;0,139
2021;Transactieprijs;28,103;0,134
Bron: CBS;;;
