"Gemeenten";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2010";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2011";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2012";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2013";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2014";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2015";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2016";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2017";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2018";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2019";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2020";"Totaal bekend energieverbruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen)|2021"
"Aa en Hunze";2768;2702;2641;2678;2592;2399;2464;2919;"?";2425;2802;2767
"Aalsmeer";3857;3528;3456;3219;3258;3065;3201;3270;3090;3046;2996;3057
"Aalten";2056;2006;2031;1955;1815;1799;1776;1802;1822;1804;1661;1663
"Achtkarspelen";2567;2542;2535;2440;2405;2318;2217;2190;2311;2278;2177;2116
"Alblasserdam";1969;2033;"?";1851;1782;2308;2269;1838;1871;1723;1710;1793
"Albrandswaard";1513;1470;1469;1500;1386;1391;1374;1427;1417;"?";1355;1368
"Alkmaar";7832;7544;7974;"?";7450;7707;7501;7628;7914;7941;7712;7453
"Almelo";7510;7367;7434;7349;"?";6624;6596;6747;6284;"?";6051;6386
"Almere";12324;12041;11823;"?";10714;10690;10642;10913;11038;11025;10601;10646
"Alphen aan den Rijn";7411;7098;7130;6980;6507;6479;6306;6337;6374;6294;5853;5852
"Alphen-Chaam";1099;1053;1068;1060;949;937;953;966;966;955;848;864
"Altena";5892;5693;5565;5416;5013;"?";5035;5088;5225;5127;4748;4840
"Ameland";397;392;426;449;410;"?";"?";451;466;440;462;492
"Amersfoort";11718;11250;10932;10746;10045;10111;10047;10178;10246;10087;"?";9279
"Amstelveen";6800;6466;6118;6102;5979;5825;5791;"?";5650;5461;5050;5033
"Amsterdam";64023;59348;"?";58820;55348;55762;55713;56123;56999;58989;53106;53646
"Apeldoorn";17984;17340;17314;16734;15694;15560;15490;15811;15810;15837;14546;14839
"Arnhem";13902;13062;13099;12827;11873;12059;12221;12473;12512;12519;11219;11290
"Assen";5281;6051;5007;5011;4642;4648;4634;4684;4689;4576;4023;4036
"Asten";4095;4126;3702;3985;3775;3751;3556;3837;3871;"?";"?";"?"
"Baarle-Nassau";863;845;785;849;828;819;825;824;848;827;820;834
"Baarn";2482;2354;2278;2280;2124;2169;2123;2140;2102;2054;1818;1850
"Barendrecht";4289;4164;3959;3806;"?";3479;3487;"?";3624;3533;"?";3476
"Barneveld";7040;6829;6922;6634;6161;6148;6212;6351;6425;6371;5650;5753
"Beek";1986;1901;1880;1866;1722;1761;"?";1801;1814;"?";1436;1637
"Beekdaelen";3268;3170;3116;3268;"?";2836;2774;"?";"?";2731;2514;2522
