"Gemeenten";"Totaal bekende hernieuwbare energie|2010";"Totaal bekende hernieuwbare energie|2011";"Totaal bekende hernieuwbare energie|2012";"Totaal bekende hernieuwbare energie|2013";"Totaal bekende hernieuwbare energie|2014";"Totaal bekende hernieuwbare energie|2015";"Totaal bekende hernieuwbare energie|2016";"Totaal bekende hernieuwbare energie|2017";"Totaal bekende hernieuwbare energie|2018";"Totaal bekende hernieuwbare energie|2019";"Totaal bekende hernieuwbare energie|2020";"Totaal bekende hernieuwbare energie|2021"
"Aa en Hunze";96;108;115;115;127;147;139;146;176;203;244;454
"Aalsmeer";52;57;57;59;63;63;63;72;91;105;122;160
"Aalten";172;183;184;179;193;199;180;192;225;243;269;280
"Achtkarspelen";85;91;169;144;117;113;110;131;176;224;229;236
"Alblasserdam";24;28;28;28;32;30;27;30;42;49;53;62
"Albrandswaard";36;40;41;41;44;44;43;47;59;75;89;99
"Alkmaar";1049;1042;1089;1632;1543;2076;1862;1952;1953;2764;2469;2301
"Almelo";107;125;157;146;146;153;150;173;251;344;427;472
"Almere";582;637;642;635;636;652;625;673;848;963;921;1272
"Alphen aan den Rijn";208;230;231;232;249;255;245;253;334;382;428;484
"Alphen-Chaam";32;35;35;36;38;38;38;42;52;63;70;86
"Altena";152;173;195;188;192;189;180;193;263;314;333;423
"Ameland";11;11;12;12;13;23;33;33;38;38;40;43
"Amersfoort";204;294;329;327;385;344;377;419;517;642;643;708
"Amstelveen";75;104;107;112;119;122;118;147;180;213;222;256
"Amsterdam";3086;3390;3555;3561;3300;3876;3844;4187;4374;3813;4808;5491
"Apeldoorn";296;466;584;575;781;633;609;662;773;978;966;1086
"Arnhem";197;261;260;258;287;266;243;300;429;554;525;623
"Assen";113;148;148;150;163;163;163;193;248;297;314;363
"Asten";48;58;59;59;67;67;65;78;109;152;294;303
"Baarle-Nassau";19;20;21;21;23;22;23;25;32;41;54;69
"Baarn";40;50;50;50;56;53;48;56;78;93;88;96
"Barendrecht";68;84;82;79;87;80;73;88;135;165;179;214
"Barneveld";181;209;227;215;259;231;203;227;309;386;409;460
"Beek";43;51;51;51;56;54;52;60;82;99;98;108
"Beekdaelen";99;111;117;119;126;122;125;135;173;192;205;229
"Beesel";40;45;45;45;48;48;47;51;65;76;82;92
"Berg en Dal";76;82;82;84;89;89;88;94;116;130;136;153
"Bergeijk";51;56;61;61;63;64;65;71;90;120;131;154
"Bergen (L.)";40;44;44;45;48;67;70;71;79;81;98;154
"Bergen (NH.)";67;73;72;74;79;78;77;85;106;126;129;146
"Bergen op Zoom";143;158;157;160;167;161;152;164;211;249;269;318
"Berkelland";118;129;136;139;154;1111;1203;1224;1369;1511;1532;1252
"Bernheze";100;115;128;125;131;128;123;141;220;244;262;313
"Best";80;93;112;107;107;105;103;109;144;186;217;252
"Beuningen";887;928;970;912;1010;1018;1030;1016;1005;1137;1124;1172
"Beverwijk";30;37;39;64;69;62;64;75;91;108;105;119
"Bladel";51;58;59;61;68;67;73;77;105;127;151;186
"Blaricum";32;35;35;35;37;35;34;39;47;52;51;59
"Bloemendaal";38;42;41;41;43;42;41;44;54;60;61;71
"Bodegraven-Reeuwijk";91;117;130;126;147;136;125;146;211;258;270;290
"Boekel";27;29;56;51;44;48;49;49;70;83;123;166
"Borger-Odoorn";94;104;122;118;156;157;147;148;175;219;421;1021
"Borne";55;62;60;58;63;60;58;67;86;98;105;119
"Borsele";277;293;358;411;445;456;449;429;603;809;873;793
"Boxtel";89;111;109;112;124;120;117;134;171;203;212;243
"Breda";289;350;378;414;453;608;605;646;798;945;935;1109
"Bronckhorst";114;139;163;146;176;149;150;165;204;227;257;289
"Brummen";50;55;55;56;74;65;65;71;89;98;101;136
"Brunssum";30;33;33;34;36;42;40;46;62;70;74;84
"Bunnik";46;55;60;58;69;59;55;63;85;101;105;121
"Bunschoten";28;31;32;33;36;243;244;243;257;69;89;108
"Buren";176;181;284;276;268;471;486;488;545;527;575;495
"Capelle aan den IJssel";39;93;98;96;114;107;122;136;164;189;196;208
"Castricum";59;66;67;68;75;74;73;82;104;123;130;148
"Coevorden";118;166;177;179;203;295;325;319;356;405;536;660
"Cranendonck";65;73;72;73;79;77;74;83;179;308;305;314
"Culemborg";69;77;77;75;81;83;79;86;113;112;147;151
"Dalfsen";84;93;131;172;183;179;179;194;247;267;314;376
"Dantumadiel";62;66;67;68;71;70;68;71;86;91;107;126
"De Bilt";86;104;102;103;111;101;96;110;153;182;172;193
"De Fryske Marren";234;254;617;482;485;720;761;857;919;1015;1035;1048
"De Ronde Venen";118;135;140;143;146;145;138;175;226;261;255;268
"De Wolden";90;103;118;115;130;127;122;137;174;204;216;241
"Delft";85;104;107;108;131;136;129;137;189;217;224;252
"Den Haag";290;412;424;430;482;482;486;541;747;859;842;1068
"Den Helder";70;83;86;87;95;87;89;104;126;150;181;245
"Deurne";82;92;94;95;103;102;101;113;177;225;251;290
"Deventer";154;205;221;217;248;270;284;312;402;455;457;508
"Diemen";31;40;39;40;47;43;37;45;65;81;90;105
"Dijk en Waard";155;206;228;231;248;249;233;260;326;385;435;478
"Dinkelland";83;92;183;165;142;130;138;156;193;205;222;247
"Doesburg";20;22;22;22;23;23;21;23;28;32;34;39
"Doetinchem";109;122;133;131;151;139;137;152;199;227;265;288
